Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Kyrie Irving,Duke,2011,1,1,3,19,PG,181,181,6102,20.966666666666665,0.5506666666666667,0.26133333333333336,0.26866666666666666,2.4,10.5,6.3,33.6,2.1,0.8666666666666667,14.0,29.03333333333333,12.2,3.8000000000000003,16.1,0.126,4.166666666666667,-0.4666666666666666,3.733333333333333,8.7,ROY-1
Kyshawn George,Miami (FL),2024,1,24,2,21,SG,77,47,2077,11.4,0.5695,0.557,0.1965,2.3,16.35,9.3,16.35,1.65,2.65,17.299999999999997,18.55,-0.9,1.2000000000000002,0.30000000000000004,0.0155,-2.45,-0.3,-2.75,-0.9,
Lamar Patterson,Pitt,2014,2,48,2,24,SG,40,0,435,1.5999999999999999,0.372,0.5065,0.23750000000000002,1.95,14.350000000000001,8.25,17.35,1.15,0.2,20.049999999999997,17.5,-0.5,0.5,0.1,-0.0755,-7.8500000000000005,-0.4,-8.25,-0.4,
Lance Stephenson,Cincinnati,2010,2,40,3,20,SG,132,73,2835,8.1,0.4466666666666667,0.2273333333333333,0.229,2.1333333333333333,13.0,7.6000000000000005,20.333333333333332,2.0666666666666664,0.4666666666666666,20.666666666666668,18.666666666666668,0.6000000000000001,4.2,5.0,-0.002999999999999998,-4.166666666666667,0.5666666666666667,-3.6333333333333333,0.7999999999999999,
Landry Fields,Stanford,2010,2,39,3,22,SG,199,165,5472,11.933333333333332,0.5303333333333333,0.221,0.24966666666666668,5.0,16.599999999999998,10.700000000000001,10.799999999999999,1.7666666666666668,0.6,14.5,14.133333333333333,4.5,5.2,9.8,0.079,-0.7666666666666667,0.23333333333333336,-0.5333333333333333,2.5,ROY-4
Landry Shamet,Wichita State,2018,1,26,3,21,SG,193,69,4657,9.933333333333334,0.5873333333333334,0.7326666666666667,0.17733333333333334,0.8666666666666667,6.866666666666667,3.966666666666667,9.133333333333333,0.9333333333333332,0.5333333333333333,8.299999999999999,15.033333333333333,5.4,2.6,8.0,0.08133333333333333,-1.0,-1.0333333333333334,-2.033333333333333,0.0,
Larry Nance Jr.,Wyoming,2015,1,27,3,23,PF,192,55,4129,16.433333333333334,0.572,0.054,0.23700000000000002,9.833333333333334,20.066666666666666,14.866666666666667,8.0,2.6333333333333333,1.9333333333333336,11.133333333333333,13.966666666666667,6.9,4.699999999999999,11.5,0.13233333333333333,-0.4666666666666666,0.9666666666666667,0.5,2.8,
Larry Sanders,VCU,2010,1,15,3,22,C,183,67,3452,14.333333333333334,0.47800000000000004,0.004666666666666666,0.20633333333333334,10.0,19.8,14.733333333333334,5.933333333333334,1.7333333333333332,7.666666666666667,13.600000000000001,17.066666666666666,1.2999999999999998,6.7,8.0,0.09266666666666666,-3.766666666666667,2.266666666666667,-1.4666666666666668,1.2,DPOY-7
Lauri Markkanen,Arizona,2017,1,7,3,20,PF,170,169,5194,15.666666666666666,0.555,0.47300000000000003,0.23233333333333336,4.3,23.099999999999998,13.433333333333332,7.066666666666666,1.1333333333333333,1.6666666666666667,9.333333333333334,22.7,4.0,4.7,8.6,0.08033333333333333,0.8666666666666667,-1.1666666666666667,-0.3333333333333333,2.1,
Lavoy Allen,Temple,2011,2,50,3,22,PF,185,54,3365,12.233333333333334,0.47733333333333333,0.015,0.12766666666666668,10.166666666666666,19.566666666666666,14.766666666666666,8.4,1.0,2.4,10.9,14.633333333333333,1.9,3.7,5.6,0.08733333333333333,-2.8000000000000003,-0.03333333333333336,-2.8333333333333335,-1.0,
