,,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,,
Rk,Sn,Rd,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,
843,2011,1,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6,
844,2011,1,4,CLE,Tristan Thompson,Texas,13,819,20432,6822,6428,800,0.52,0.238,0.592,24.9,8.3,7.8,1,49.3,0.116,-1.7,1.3,
845,2011,1,5,TOR,Jonas Valančiūnas,,14,946,23671,12359,8766,1312,0.56,0.341,0.794,25,13.1,9.3,1.4,85.1,0.173,1,17.8,
846,2011,1,6,WAS,Jan Veselý,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-2.6,-0.4,
847,2011,1,7,SAC,Bismack Biyombo,,15,872,16956,4397,5114,584,0.537,0,0.551,19.4,5,5.9,0.7,33.2,0.094,-2.6,-2.5,
848,2011,1,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,0.411,0.352,0.807,29.3,14,3.1,3.9,11.6,0.042,-1.6,1.4,
849,2011,1,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.8,0.116,2.8,29.8,
850,2011,1,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-2.5,-0.4,
851,2011,1,11,GSW,Klay Thompson,Washington State,13,874,27989,16604,3067,2005,0.45,0.41,0.86,32,19,3.5,2.3,56.8,0.097,0.4,17.2,
852,2011,1,12,UTA,Alec Burks,Colorado,14,791,17576,8346,2642,1521,0.415,0.386,0.805,22.2,10.6,3.3,1.9,31.7,0.087,-0.5,6.6,
853,2011,1,13,PHO,Markieff Morris,Kansas,14,791,18460,8076,3847,1221,0.443,0.341,0.779,23.3,10.2,4.9,1.5,27.3,0.071,-1.5,2.3,
854,2011,1,14,HOU,Marcus Morris,Kansas,13,832,22093,9965,3690,1235,0.435,0.377,0.774,26.6,12,4.4,1.5,39.4,0.086,-0.8,6.7,
855,2011,1,15,IND,Kawhi Leonard,San Diego State,14,739,23484,14879,4696,2257,0.499,0.392,0.86,31.8,20.1,6.4,3.1,103.5,0.211,6.5,50.2,
856,2011,1,16,PHI,Nikola Vučević,USC,15,981,30788,16879,10265,2843,0.498,0.35,0.771,31.4,17.2,10.5,2.9,80.9,0.126,2.1,32,
857,2011,1,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,
858,2011,1,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,
859,2011,1,19,CHA,Tobias Harris,Tennessee,15,976,30921,15685,6005,2310,0.478,0.366,0.837,31.7,16.1,6.2,2.4,75.7,0.118,0.9,22.8,
860,2011,1,20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5,
861,2011,1,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8,
862,2011,1,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5,
863,2011,1,23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1,
864,2011,1,24,OKC,Reggie Jackson,Boston College,14,884,21859,10845,2463,3606,0.423,0.345,0.854,24.7,12.3,2.8,4.1,36.3,0.08,-0.6,7.5,
865,2011,1,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4,
866,2011,1,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1,
867,2011,1,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,
868,2011,1,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1,
869,2011,1,29,SAS,Cory Joseph,Texas,14,866,18296,5828,2094,2517,0.44,0.35,0.786,21.1,6.7,2.4,2.9,32.1,0.084,-1.1,4,
