Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Abdel Nader,Iowa State,2016,2,58,2017,1,24,BOS,SF,48,1,522,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,
Abdel Nader,Iowa State,2016,2,58,2018,2,25,OKC,SF,61,1,694,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,
Abdel Nader,Iowa State,2016,2,58,2019,3,26,OKC,SF,55,6,867,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.2,0.2,-1.0,0.2,
Abdel Nader,Iowa State,2016,2,58,2020,4,27,PHO,SF,24,0,355,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,0.095,-1.0,1.0,0.0,0.2,
Abdel Nader,Iowa State,2016,2,58,2021,5,28,PHO,SF,14,0,145,4.9,0.431,0.4,0.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-4.9,-0.1,
Ace Bailey,Rutgers University,2025,1,5,2025,1,19,UTA,SF,9,0,166,5.8,0.418,0.322,0.169,9.5,9.8,9.6,12.7,0.9,0.6,15.9,18.5,-0.2,0.0,-0.2,-0.056,-5.7,-2.9,-8.6,-0.3,
Adem Bona,UCLA,2024,2,41,2024,1,21,PHI,C,58,11,905,16.5,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2,
Adem Bona,UCLA,2024,2,41,2025,2,22,PHI,C,9,3,141,8.0,0.47,0.063,0.75,9.4,12.7,11.1,2.5,1.3,9.1,24.8,8.2,-0.1,0.2,0.1,0.033,-5.1,1.0,-4.0,-0.1,
Admiral Schofield,Tennessee,2019,2,42,2019,1,22,WAS,PF,33,2,368,6.1,0.502,0.663,0.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,
Admiral Schofield,Tennessee,2019,2,42,2021,2,24,ORL,SF,38,1,469,7.5,0.538,0.612,0.116,3.8,16.3,10.0,7.9,0.4,1.0,13.4,14.5,-0.1,0.3,0.3,0.027,-4.2,-1.2,-5.4,-0.4,
Admiral Schofield,Tennessee,2019,2,42,2022,3,25,ORL,PF,37,0,451,10.1,0.587,0.607,0.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,0.089,-2.2,-0.7,-2.9,-0.1,
Admiral Schofield,Tennessee,2019,2,42,2023,4,26,ORL,PF,23,0,84,6.0,0.484,0.615,0.077,4.2,19.7,11.9,11.6,0.6,0.0,15.7,16.6,-0.1,0.1,0.0,0.006,-4.1,-0.8,-4.9,-0.1,
Adreian Payne,Michigan State,2014,1,15,2014,1,23,2TM,PF,32,22,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1.0,15.5,17.0,-0.7,0.2,-0.5,-0.033,-5.0,-2.0,-6.9,-0.9,
Adreian Payne,Michigan State,2014,1,15,2015,2,24,MIN,PF,52,2,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-6.1,-0.2,-6.2,-0.5,
Adreian Payne,Michigan State,2014,1,15,2016,3,25,MIN,PF,18,0,135,14.4,0.505,0.278,0.352,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,0.0,0.2,0.2,0.086,-3.8,1.5,-2.3,0.0,
Adreian Payne,Michigan State,2014,1,15,2017,4,26,ORL,PF,5,0,43,18.8,0.831,0.3,0.6,5.1,18.0,11.5,0.0,2.3,0.0,13.7,15.0,0.1,0.0,0.2,0.203,1.8,0.6,2.4,0.0,
Ajay Mitchell,UC Santa Barbara,2024,2,38,2024,1,22,OKC,SG,36,1,597,12.0,0.587,0.326,0.19,3.3,8.8,6.1,13.8,2.0,0.7,12.7,16.2,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1,
Ajay Mitchell,UC Santa Barbara,2024,2,38,2025,2,23,OKC,SG,10,2,276,19.1,0.569,0.285,0.308,4.1,10.5,7.4,22.4,3.0,0.7,10.9,25.9,0.4,0.6,1.0,0.174,0.5,1.0,1.5,0.2,
Al-Farouq Aminu,Wake Forest,2010,1,8,2010,1,20,LAC,SF,81,14,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3,
Al-Farouq Aminu,Wake Forest,2010,1,8,2011,2,21,NOH,SF,66,21,1477,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.7,-2.2,-0.1,
Al-Farouq Aminu,Wake Forest,2010,1,8,2012,3,22,NOH,SF,76,71,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0,
Al-Farouq Aminu,Wake Forest,2010,1,8,2013,4,23,NOP,SF,80,65,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7,
Al-Farouq Aminu,Wake Forest,2010,1,8,2014,5,24,DAL,SF,74,3,1366,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.7,1.5,0.7,1.0,
