Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Kentavious Caldwell-Pope,Georgia,2013,1,8,2013,1,20,DET,SG,80,41,1583,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,0.055,-3.0,0.5,-2.6,-0.2,
Keon Johnson,Tennessee,2021,1,21,2021,1,19,2TM,SG,37,12,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2.0,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4.0,-2.0,-5.9,-0.7,
Kessler Edwards,Pepperdine,2021,2,44,2021,1,21,BRK,SF,48,23,987,8.3,0.516,0.509,0.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5,
Kevin Hervey,UT Arlington,2018,2,57,2019,1,23,OKC,PF,10,0,52,5.0,0.315,0.741,0.0,2.2,22.7,12.7,13.9,0.9,1.7,0.0,22.8,-0.2,0.1,-0.1,-0.085,-4.0,-1.1,-5.1,0.0,
Kevin Huerter,Maryland,2018,1,19,2018,1,20,ATL,SG,75,59,2048,10.1,0.533,0.537,0.085,3.0,9.7,6.3,14.5,1.5,1.1,13.8,15.7,0.7,0.7,1.5,0.034,-1.6,-0.8,-2.4,-0.2,
Kevin Knox,Kentucky,2018,1,9,2018,1,19,NYK,PF,75,57,2158,8.7,0.475,0.398,0.247,2.9,13.6,8.1,6.0,1.0,0.9,10.1,22.3,-2.2,0.9,-1.3,-0.03,-3.4,-2.3,-5.7,-2.0,
Kevin McCullar Jr.,Kansas,2024,2,56,2024,1,23,NYK,SF,4,0,29,6.7,0.381,0.143,0.286,0.0,31.3,15.8,8.4,1.7,3.2,0.0,11.8,0.0,0.0,0.0,0.06,-8.5,1.3,-7.2,0.0,
Kevin Murphy,Tennessee Technological University,2012,2,47,2012,1,22,UTA,SG,17,0,52,-4.5,0.268,0.179,0.0,0.0,9.1,4.5,6.1,1.0,0.0,9.7,27.1,-0.3,0.0,-0.3,-0.272,-11.4,-5.4,-16.8,-0.2,
Kevin Porter Jr.,USC,2019,1,30,2019,1,19,CLE,SF,50,3,1162,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.012,-3.2,-0.6,-3.8,-0.5,
Kevon Looney,UCLA,2015,1,30,2015,1,19,GSW,PF,5,0,21,18.6,0.643,0.286,0.0,21.8,29.1,25.6,0.0,0.0,0.0,12.5,16.5,0.1,0.0,0.1,0.192,1.6,-4.1,-2.5,0.0,
Keyontae Johnson,Kansas State,2023,2,50,2023,1,23,OKC,SF,9,0,66,1.6,0.344,0.188,0.0,7.0,9.8,8.4,7.2,0.7,0.0,20.0,13.1,-0.1,0.1,-0.1,-0.068,-7.5,-2.2,-9.8,-0.1,
Keyonte George,Baylor,2023,1,16,2023,1,20,UTA,PG,75,44,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2,
Khaman Maluach,Duke,2025,1,10,2025,1,19,PHO,C,5,0,24,12.4,0.731,0.25,2.0,4.6,4.8,4.7,5.4,0.0,7.8,21.0,16.6,0.1,0.0,0.1,0.125,-5.2,0.2,-5.1,0.0,
Khris Middleton,Texas A&M,2012,2,39,2012,1,21,DET,SG,27,0,475,11.4,0.532,0.319,0.227,1.0,11.4,6.1,9.5,1.7,0.7,6.6,15.9,0.6,0.3,0.9,0.089,-1.9,-0.1,-1.9,0.0,
Khyri Thomas,Creighton,2018,2,38,2018,1,22,DET,SG,26,0,195,6.2,0.413,0.507,0.159,2.2,9.3,5.6,6.0,1.8,2.2,5.1,17.2,-0.2,0.2,0.0,0.005,-4.9,-0.1,-5.0,-0.2,
Kim English,Missouri,2012,2,44,2012,1,24,DET,SG,41,0,407,7.9,0.477,0.446,0.259,2.2,8.4,5.2,9.8,2.1,0.6,13.2,16.1,0.0,0.2,0.2,0.021,-4.0,-0.2,-4.2,-0.2,
Kira Lewis Jr.,Alabama,2020,1,13,2020,1,19,NOP,PG,54,0,904,10.3,0.477,0.356,0.151,1.4,7.1,4.3,18.7,2.0,1.0,8.6,18.3,0.2,0.6,0.9,0.045,-3.2,-0.2,-3.4,-0.3,
Klay Thompson,Washington State,2011,1,11,2011,1,21,GSW,SG,66,29,1608,14.9,0.545,0.373,0.127,1.7,9.6,5.7,14.2,1.6,1.0,12.0,24.7,1.4,0.3,1.7,0.05,0.3,-1.7,-1.4,0.2,ROY-6
Kobe Brown,Missouri,2023,1,30,2023,1,24,LAC,PF,44,0,394,7.6,0.49,0.533,0.022,5.9,11.6,8.9,8.1,1.5,1.4,9.0,11.1,0.1,0.3,0.5,0.055,-4.0,0.2,-3.8,-0.2,
Kobe Bufkin,Michigan,2023,1,15,2023,1,20,ATL,SG,17,0,196,9.1,0.424,0.435,0.087,3.2,15.6,9.2,19.3,1.7,2.3,9.5,22.4,-0.3,0.1,-0.1,-0.031,-4.3,-0.2,-4.5,-0.1,
Kobe Sanders,Nevada,2025,2,50,2025,1,23,LAC,SG,2,0,9,6.2,0.25,0.25,0.0,0.0,12.5,6.5,15.5,11.1,0.0,20.0,24.6,-0.1,0.0,0.0,-0.202,-13.7,3.3,-10.4,0.0,
Koby Brea,Kentucky,2025,2,41,2025,1,23,PHO,SG,1,0,4,35.1,0.694,0.5,1.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.457,6.4,-2.2,4.1,0.0,
Kon Knueppel,Duke,2025,1,4,2025,1,20,CHO,SF,9,8,284,12.5,0.602,0.643,0.157,2.0,18.7,10.7,10.8,0.8,0.3,13.4,20.5,0.2,0.1,0.3,0.057,-0.3,-1.8,-2.1,0.0,
Kostas Antetokounmpo,Dayton,2018,2,60,2018,1,21,DAL,PF,2,0,11,-0.9,0.21,0.0,1.333,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,-0.1,0.0,-0.1,-0.247,-12.6,-0.1,-12.7,0.0,
Kris Dunn,Providence,2016,1,5,2016,1,22,MIN,PG,78,7,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-4.5,1.8,-2.8,-0.3,
Kris Joseph,Syracuse,2012,2,51,2012,1,24,2TM,SF,10,0,54,0.6,0.257,0.214,0.571,2.3,12.9,7.7,2.8,3.0,0.0,10.2,17.0,-0.2,0.1,-0.1,-0.127,-8.7,-1.2,-9.9,-0.1,
Kris Murray,Iowa,2023,1,23,2023,1,23,POR,SF,62,29,1348,9.0,0.481,0.5,0.153,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,-0.4,1.0,0.7,0.024,-3.5,-0.2,-3.6,-0.6,
Kyle Anderson,UCLA,2014,1,30,2014,1,21,SAS,SF,33,8,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044,-3.8,2.3,-1.4,0.1,
Kyle Filipowski,Duke,2024,2,32,2024,1,21,UTA,C,72,27,1522,14.9,0.594,0.425,0.276,8.0,23.1,15.6,13.9,1.5,1.4,14.9,18.7,1.5,1.0,2.5,0.078,-0.6,-0.3,-1.0,0.4,
Kyle Guy,Virginia,2019,2,55,2019,1,22,SAC,SG,3,0,10,6.6,0.4,0.6,0.0,0.0,11.5,5.6,15.6,0.0,0.0,0.0,21.7,0.0,0.0,0.0,-0.045,-7.5,-4.8,-12.3,0.0,
Kyle Kuzma,Utah,2017,1,27,2017,1,22,LAL,PF,77,37,2401,14.2,0.549,0.418,0.2,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,1.5,2.3,3.8,0.077,0.3,-1.0,-0.7,0.8,"ROY-4,6MOY-9"
Kyle O'Quinn,Norfolk State,2012,2,49,2012,1,22,ORL,C,57,5,638,15.8,0.535,0.005,0.228,11.5,25.5,18.5,13.1,0.9,3.1,14.6,18.1,0.7,0.7,1.4,0.107,-1.9,0.3,-1.6,0.1,
