Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Dwight Powell,Stanford,2014,2,45,2015,2,24,DAL,PF,69,2,992,16.8,0.557,0.054,0.48,9.3,20.9,15.1,7.2,1.8,2.0,10.0,18.4,1.8,1.3,3.1,0.151,-0.6,0.7,0.1,0.5,
Dwight Powell,Stanford,2014,2,45,2016,3,25,DAL,C,77,3,1333,17.6,0.588,0.196,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,2.7,1.9,4.6,0.165,-0.1,1.1,1.0,1.0,
Dylan Harper,Rutgers University,2025,1,2,2025,1,19,SAS,SG,6,0,140,17.1,0.584,0.219,0.281,4.4,15.3,10.1,25.6,1.4,0.0,13.3,25.2,0.3,0.2,0.4,0.145,-0.5,0.0,-0.4,0.1,
Dylan Windler,Belmont,2019,1,26,2020,1,24,CLE,SF,31,0,513,10.8,0.567,0.592,0.208,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,0.0,0.5,0.5,0.045,-2.0,0.3,-1.7,0.0,
Dylan Windler,Belmont,2019,1,26,2021,2,25,CLE,SF,50,0,459,8.8,0.519,0.714,0.184,5.2,16.0,10.7,10.0,1.5,0.6,13.1,11.8,0.2,0.6,0.8,0.084,-3.0,1.2,-1.7,0.0,
Dylan Windler,Belmont,2019,1,26,2022,3,26,CLE,SF,3,0,10,19.0,0.833,0.667,0.0,0.0,0.0,0.0,15.2,5.0,0.0,25.0,17.9,0.0,0.0,0.0,0.149,3.2,3.5,6.7,0.0,
E'Twaun Moore,Purdue,2011,2,55,2011,1,22,BOS,PG,38,0,331,8.8,0.474,0.398,0.062,1.5,9.9,5.9,17.0,1.8,0.7,15.3,19.9,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0.0,
E'Twaun Moore,Purdue,2011,2,55,2012,2,23,ORL,SG,75,21,1682,10.7,0.471,0.329,0.099,3.2,8.0,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,0.006,-1.6,-0.7,-2.3,-0.1,
E'Twaun Moore,Purdue,2011,2,55,2013,3,24,ORL,SG,79,3,1506,11.1,0.513,0.353,0.149,2.2,8.1,5.1,11.8,2.0,0.7,10.2,16.4,0.6,1.1,1.7,0.055,-1.9,0.3,-1.6,0.2,
E.J. Liddell,Ohio State,2022,2,41,2023,1,23,NOP,PF,8,0,23,4.3,0.291,0.833,0.333,0.0,23.9,12.1,5.2,4.3,8.6,22.5,16.8,-0.1,0.1,0.0,-0.091,-8.7,4.0,-4.7,0.0,
