Player,DraftStatus,DraftYear,DraftRound,DraftPick,Rk,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jordan Hill,Undrafted,,,,7967,2010,1,23,HOU,C,72,11,1125,13.1,0.521,0.006,0.241,12.9,18.0,15.4,4.0,0.6,3.2,13.7,17.7,0.8,1.0,1.8,0.079,-2.9,-1.4,-4.3,-0.7,
Jordan Hill,Undrafted,,,,7495,2011,2,24,2TM,C,39,8,551,15.8,0.522,0.018,0.285,12.8,26.3,19.5,4.7,1.3,3.6,14.3,17.9,0.5,0.8,1.4,0.118,-1.8,0.3,-1.5,0.1,
Jordan Hill,Undrafted,,,,7007,2012,3,25,LAL,PF,29,1,458,18.5,0.533,0.013,0.394,20.3,19.7,20.0,4.7,0.9,3.0,12.5,20.2,0.9,0.5,1.4,0.147,-0.1,-1.6,-1.6,0.0,
Jordan Hill,Undrafted,,,,6540,2013,4,26,LAL,PF,72,32,1500,19.3,0.579,0.002,0.347,13.8,24.3,19.0,5.9,0.9,3.1,11.1,19.7,3.1,1.3,4.4,0.141,0.5,-1.0,-0.5,0.6,
Jordan Hill,Undrafted,,,,6057,2014,5,27,LAL,C,70,57,1874,16.2,0.494,0.014,0.216,9.9,23.4,16.4,9.5,0.9,2.3,11.1,22.7,1.1,1.1,2.2,0.055,-0.6,-1.6,-2.2,-0.1,
Jordan Hill,Undrafted,,,,5563,2015,6,28,IND,C,73,11,1513,16.4,0.534,0.002,0.228,11.3,21.2,16.3,9.5,1.2,2.0,13.2,20.3,1.6,2.3,3.9,0.124,-0.7,0.0,-0.7,0.5,
Jordan Hill,Undrafted,,,,5075,2016,7,29,MIN,C,7,0,47,5.5,0.432,0.0,0.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,-0.1,0.0,0.0,-0.033,-7.1,-5.2,-12.3,-0.1,
Jordan Loyd,Undrafted,,,,4123,2018,1,25,TOR,PG,12,0,55,16.3,0.635,0.444,0.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,0.2,0.0,0.2,0.19,0.0,-0.9,-1.0,0.0,
Jordan McLaughlin,Undrafted,,,,3610,2019,1,23,MIN,PG,30,2,590,16.3,0.587,0.427,0.219,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,1.1,0.4,1.6,0.13,0.3,0.0,0.3,0.3,
Jordan McLaughlin,Undrafted,,,,3077,2020,2,24,MIN,PG,51,2,938,12.0,0.502,0.38,0.124,2.3,10.4,6.2,28.0,2.6,0.6,16.7,13.7,0.6,0.6,1.2,0.062,-2.0,0.2,-1.7,0.1,
Jordan McLaughlin,Undrafted,,,,2369,2021,3,25,MIN,PG,62,3,902,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3.0,1.1,14.9,11.8,1.3,1.0,2.3,0.123,-1.2,1.6,0.4,0.6,
Jordan McLaughlin,Undrafted,,,,1924,2022,4,26,MIN,PG,43,0,678,11.8,0.526,0.538,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,0.7,0.6,1.3,0.094,-1.3,0.6,-0.7,0.2,
Jordan McLaughlin,Undrafted,,,,1263,2023,5,27,MIN,PG,56,0,626,15.5,0.638,0.614,0.124,3.4,9.4,6.5,23.7,2.8,1.0,11.1,12.1,1.4,1.1,2.5,0.193,1.4,2.9,4.2,1.0,
Jordan McLaughlin,Undrafted,,,,691,2024,6,28,2TM,PG,46,0,314,12.3,0.6,0.639,0.306,2.1,8.5,5.3,21.0,2.5,0.3,16.4,13.3,0.4,0.2,0.6,0.098,-1.6,0.0,-1.6,0.0,
Jordan McLaughlin,Undrafted,,,,299,2025,7,29,SAS,PG,8,0,74,15.3,0.553,0.625,0.125,5.0,4.6,4.8,18.4,4.6,0.0,7.3,15.7,0.1,0.1,0.3,0.177,-0.6,3.1,2.5,0.1,
Jordan McRae,Drafted,2014.0,2,58,5660,2015,1,24,2TM,PG,22,1,195,14.2,0.548,0.282,0.359,2.3,9.2,5.7,20.9,0.7,0.4,14.2,23.9,0.2,0.1,0.4,0.087,0.0,-1.9,-1.8,0.0,
